ID,Language_ID,Form,Segments,Comment,Source,Parameter_ID,POS
o2-noti-potential-partner-0,yab,o-noti,o n o t i,,,2-potential-partner,n
make-mother-0,yab,makë,m a k ə,,,mother,n
yaerg-0,yab,ya,j a,,,erg,postp
taro-say-2-ri-zero,yab,ta-∅,t a,,,say-ipfv,vt
taji-0,yab,taji,t a h i,,,slug-1,
reemp-0,yab,rë,r ə,,,emp,postp
waijta-mouse-0,yab,waijta,w a i h t a,,,mouse,n
enijpetere-one-0,yab,enijpëtërë,e n i h p ə t ə r ə,,,one,adv
waraijtokomo-man-0,yab,waraijtokomo,w a r a i h t o k o m o,,,man,n
i32-te-go-0-sepst,yab,ij-të-se,i h t ə s e,,,3-go-pst,vi
ti-hsy-0,yab,ti,t i,,,hsy,part
mijna-there-all-0,yab,mïjna,m ɨ h n a,,,there-all,adv
teijpo-far-0,yab,tëijpo,t ə i h p o,,,far,adv
f90c63ed-bd4c-43b7-b9f9-2709d3ff0ddd1-sepst,yab,wïnïj-se,w ɨ n ɨ h s e,,,sleep-pst,vi
yutu-forest-0,yab,yutu,j u t u,,,forest,n
yakaall-0,yab,yaka,j a k a,,,all,postp
irejpe-then-0,yab,irëjpë,i r ə h p ə,,,then,adv
ta-like-0,yab,ta,t a,,,like,part
041cd4a0-4dca-4c25-8f2f-ebceb26331430,yab,tawani,t a w a n i,,,darkness,n
yaweloc-0,yab,yawë,j a w ə,,,loc,postp
senejkastay-0-ri-zero,yab,senejka-∅,s e n e h k a,,,remain-ipfv,vi
wej-cop-0-sapepfv,yab,wej-sapë,w e h s a p ə,,,cop-pfv,vi
dc33b380-8376-4775-83e2-46bcef4011991-sepst,yab,ënuj-se,ə n u h s e,,,go-up-pst,vi
kawe-high-0,yab,kawë,k a w ə,,,high,adv
waijta-mouse-0-tonpl,yab,waijta-ton,w a i h t a t o n,,,mouse-pl,n
nwajtedance-0-ri-zero,yab,nwajtë-∅,n w a h t ə,,,dance-ipfv,vi
sakunkai-sakunkai-0,yab,sakunkai,s a k u n k a i,,,sakunkai,ideo
wiriyamo-woman-3-pijkedim,yab,wurijyam-pïjkë,w u r i h j a m p ɨ h k ə,,,woman-dim,n
93b0a595-e7b7-413e-a88b-9ca8d868dddd0-ri-zero,yab,kantajnë-∅,k a n t a h n ə,,,sing-ipfv,vi
tawara-too-0,yab,tawara,t a w a r a,,,too,adv
tewi-3pro-0,yab,tëwï,t ə w ɨ,,,3pro,pn
nai-do-0-ri-zero-kontonpl,yab,nai-∅-konton,n a i k o n t o n,,,do-ipfv-pl,vt
oki-chicha-0,yab,okï,o k ɨ,,,chicha,n
yeni-drink-0-ri-zero,yab,yëni-∅,j ə n i,,,drink-ipfv,vt
b88eb9d8-3039-47c5-b822-a13e422aeb480,yab,soj,s o h,,,id-dabble,ideo
nai-do-1-plur1-ri,yab,naij-pëti-ri,n a i h p ə t i r i,,,do-plur-ipfv,vt
ware-thus-0,yab,warë,w a r ə,,,thus,adv
waijta-mouse-0-tomopl,yab,waijta-tomo,w a i h t a t o m o,,,mouse-pl,n
nwajtedance-0-ri,yab,nwajtë-ri,n w a h t ə r i,,,dance-ipfv,vi
dt1-wenaka-vomit-0-sepst,yab,ëj-wenaka-se,ə h w e n a k a s e,,,detrz-vomit-pst,vi
wej-cop-0-tanecns,yab,wej-tane,w e h t a n e,,,cop-cncs,vi
b97a0ed7-7ceb-4cab-83d8-5b30b45d9a590,yab,pïrarë,p ɨ r a r ə,,,nothing,part
i31-79766ee2-3962-4bcd-ae1b-bcc332d75e880-rupert,yab,i-wena-ru,i w e n a r u,,,3-vomit-pert,n
79766ee2-3962-4bcd-ae1b-bcc332d75e880-rupert,yab,wena-ru,w e n a r u,,,vomit-pert,n
suku-1-tavbz-sepst,yab,suj-ta-se,s u h t a s e,,,urine-vbz-pst,vi
aaa,yab,aaa,a a a,,,unknown,
u1-suku-0-rupert,yab,u-suku-ru,u s u k u r u,,,1-urine-pert,n
morone-hurting-0,yab,morone,m o r o n e,,,hurting,adv
wire-1pro-0,yab,wïrë,w ɨ r ə,,,1pro,pn
u1-suku-1-tavbz-ri-zero,yab,u-suj-ta-∅,u s u h t a,,,1-urine-vbz-ipfv,vi
intsne-0,yab,ne,n e,,,ints,postp
konopo-rain-0,yab,konopo,k o n o p o,,,rain,n
wej-cop-0-sareimn,yab,wej-sarë,w e h s a r ə,,,cop-imn,vi
efec7abd-f480-462a-9648-e2434e3bee0d0-ri-zero,yab,tawejka-∅,t a w e h k a,,,to-daylight-ipfv,vi
waijta-mouse-0-tomopl-pstjpe1,yab,waijta-tomo-jpë,w a i h t a t o m o h p ə,,,mouse-pl-pst,n
etipa-go-in-group-2-sepst-kontomopl,yab,tipa-se-kontomo,t i p a s e k o n t o m o,,,go-in-group-pst-pl,vi
dt1-wenaka-vomit-0-pstjpe1,yab,ëj-wenaka-jpë,ə h w e n a k a h p ə,,,detrz-vomit-pst,vi
ta3-ini-see-2-plur1-ri,yab,ta-in-pëti-ri,t a i n p ə t i r i,,,3p-see-plur-ipfv,vt
ini-see-2-plur1-ri-zero,yab,in-pëti-∅,i n p ə t i,,,see-plur-ipfv,vt
wenaka-vomit-0-pstjpe1,yab,wenaka-jpë,w e n a k a h p ə,,,vomit-pst,vt
mare-still-1,yab,mare,m a r e,,,still,part
07bd51f6-fb85-483e-b0cf-b27e244f61b40,yab,ëkëtë,ə k ə t ə,,,where,adv
mere-med-inan-0,yab,mërë,m ə r ə,,,med-inan,det
58bf6d86-1230-4458-997c-15f94ad6fbd60,yab,ëkï,ə k ɨ,,,manioc-beer,n
79766ee2-3962-4bcd-ae1b-bcc332d75e880-rupert-pstjpe1,yab,wena-ru-jpë,w e n a r u h p ə,,,vomit-pert-pst,n
wej-cop-0-sajpfv,yab,wej-saj,w e h s a h,,,cop-pfv,vi
ejte-house-0,yab,ëjtë,ə h t ə,,,house,n
02c99f34-5b27-4ff8-819a-dc4a34dca14e0,yab,kërëjpë,k ə r ə h p ə,,,old,n
nwajtedance-0-ri-zero-kontonpl,yab,nwajtë-∅-konton,n w a h t ə k o n t o n,,,dance-ipfv-pl,vi
sukase-all-0,yab,sukase,s u k a s e,,,all-1,adv
etipa-go-in-group-2-plur2-sepst-pljne1,yab,tipa-pëj-se-jne,t i p a p ə h s e h n e,,,go-in-group-plur-pst-pl,vi
waijta-mouse-0-pljne1,yab,waijta-jne,w a i h t a h n e,,,mouse-pl,n
ajpachi-undergrowth-0,yab,ajpachi,a h p a t͡ʃ i,,,undergrowth,n
97376aaf-48ae-4848-b0b5-80e15dcc0f640,yab,pïnika,p ɨ n i k a,,,prob,part
a992b4b6-c478-4e4b-9814-670e196825430,yab,ëkëjna,ə k ə h n a,,,where-to,adv
36d6a83f-058a-449a-987f-1cd71d8d37cc0,yab,neke,n e k e,,,contrast,part
bcfb197f-800e-48bd-8ec6-664e658aff041-sepst,yab,won-se,w o n s e,,,enter-pst,vi
marestr-0,yab,ma,m a,,,restr,part
taro-say-2-sepst,yab,ta-se,t a s e,,,say-pst,vt
waraijtokon-man-0,yab,waraijtokon,w a r a i h t o k o n,,,man,n
maniki-0,yab,maniki,m a n i k i,,,slug-1,n
it3-iwiti-house-1,yab,t-ïwïj,t ɨ w ɨ h,,,3-house,n
maniki-0-pstjpe1,yab,maniki-jpë,m a n i k i h p ə,,,pst,n
ati-what-0,yab,ati,a t i,,,what,qpro
warai-like-0,yab,warai,w a r a i,,,like,adv
mere-2pro-0,yab,mërë,m ə r ə,,,2pro,pn
ini-see-0-ri,yab,ini-ri,i n i r i,,,see-ipfv,vt
me2-yarika-laugh-0-ri-zero,yab,më-yarika-∅,m ə j a r i k a,,,2-laugh-ipfv,vi
me2-yaruwa-laugh-0-ri,yab,më-yaruwa-ri,m ə j a r u w a r i,,,2-laugh-ipfv,vi
me2-pekepene-alone-0,yab,më-pëkëpene,m ə p ə k ə p e n e,,,2-alone,postp
ejne-1-2pro-0,yab,ejnë,e h n ə,,,1-2pro,pn
pekepene-alone-0,yab,pëkëpene,p ə k ə p e n e,,,alone,postp
yaruwa-laugh-0-ri-zero-janeg,yab,yaruwa-∅-ja,j a r u w a h a,,,laugh-ipfv-neg,vi
ejka-right-1,yab,ënka,ə n k a,,,right,part
wanene-aunt-0,yab,wanene,w a n e n e,,,aunt,n
yaruwa-laugh-0-ri-jraneg,yab,yaruwa-ri-jra,j a r u w a r i h r a,,,laugh-ipfv-neg,vi
yaruwa-laugh-0-ri,yab,yaruwa-ri,j a r u w a r i,,,laugh-ipfv,vi
yakarama-tell-0-ri-zero,yab,yakarama-∅,j a k a r a m a,,,tell-ipfv,vt
pekeon-0,yab,pëkë,p ə k ə,,,on-surface,postp
ware-thus-2,yab,nwarë,n w a r ə,,,thus,adv
nope-good-0,yab,nope,n o p e,,,good,adv
esene-see-self-0-ri-zero,yab,esene-∅,e s e n e,,,see-self-ipfv,vi
mare-rel-inan-0,yab,mare,m a r e,,,rel-inan,
5e07b708-79a9-4b84-8bb2-8d90daf937b31,yab,kwase,k w a s e,,,how,qpro
yaruwakempinire,yab,yaruwakempïnirë,j a r u w a k e m p ɨ n i r ə,,,unknown,
mekisantomo-dist-anim-pl-0,yab,mëkïsantomo,m ə k ɨ s a n t o m o,,,dist-anim-pl,det
ajaja-hahaha-0,yab,ajaja,a h a h a,,,hahaha,intj
taro-say-1-tanecns,yab,taj-tane,t a h t a n e,,,say-cncs,vt
ki-oh-0,yab,kï,k ɨ,,,oh,intj
monkontomo-2pl-pro-1,yab,mokontomo,m o k o n t o m o,,,2pl-pro,pn
sereka-tire-0-podes-jraneg,yab,sereka-po-jra,s e r e k a p o h r a,,,tire-des-neg,vi
ka-q-0,yab,ka,k a,,,q,part
taro-say-0-ri-zero,yab,taro-∅,t a r o,,,say-ipfv,vt
pekeon-1-nonmlz,yab,poko-no,p o k o n o,,,on-surface-nmlz,n
i-do-0-ri,yab,i-ri,i r i,,,do-ipfv,vt
minte-there-loc-0,yab,mïntë,m ɨ n t ə,,,there-loc,adv
tunampe,yab,tunampe,t u n a m p e,,,unknown,
yarika-laugh-0-ri,yab,yarika-ri,j a r i k a r i,,,laugh-ipfv,vi
tawara-too-3-janeg,yab,tawa-ja,t a w a h a,,,too-neg,adv
yarika-laugh-0-ri-zero-janeg,yab,yarika-∅-ja,j a r i k a h a,,,laugh-ipfv-neg,vi
esene-see-self-1-ri-zero-janeg,yab,sene-∅-ja,s e n e h a,,,see-self-ipfv-neg,vi
yarikatopo,yab,yarikatopo,j a r i k a t o p o,,,unknown,
ta3-ita-hear-0-podes,yab,ta-ita-po,t a i t a p o,,,3p-hear-des,vt
chi-cop-0-ri,yab,chi-ri,t͡ʃ i r i,,,cop-ipfv,vi
senejkastay-0-ri-ri,yab,senejka-rï,s e n e h k a r ɨ,,,remain-ipfv,vi
u1-ylk-iwiti-house-1,yab,u-y-ïwïj,u j ɨ w ɨ h,,,1-lk-house,n
suku-0-ripert,yab,suku-ri,s u k u r i,,,urine-pert,n
jwama,yab,jwama,h w a m a,,,unknown,
ita-hear-0-ri,yab,ita-ri,i t a r i,,,hear-ipfv,vt
wajyakiti-very-happy-0-jraneg,yab,wajyakïtï-jra,w a h j a k ɨ t ɨ h r a,,,very-happy-priv,n
tawara-too-1,yab,tawaraij,t a w a r a i h,,,too,adv
u1-senejkastay-0-ri,yab,u-senejka-ri,u s e n e h k a r i,,,1-remain-ipfv,vi
chipokono,yab,chipokono,t͡ʃ i p o k o n o,,,unknown,
panadat-0,yab,pana,p a n a,,,dat,postp
yaruwatopo,yab,yaruwatopo,j a r u w a t o p o,,,unknown,
pirare,yab,pïrärë,p ɨ r � r ə,,,unknown,
ini-see-2-keimp,yab,in-kë,i n k ə,,,see-imp,vt
ire-dem-0,yab,irë,i r ə,,,dem,pn
nwadance-0,yab,nwa,n w a,,,dance,n
chipeke,yab,chipëkë,t͡ʃ i p ə k ə,,,unknown,
tewisantomo-3pro-pl-0,yab,tëwïsantomo,t ə w ɨ s a n t o m o,,,3pro-pl,pn
yaruwa-laugh-0-tepeke,yab,yaruwa-tëpëkë,j a r u w a t ə p ə k ə,,,laugh-prog-intr,vi
chi-cop-0-ri-zero-kontomopl,yab,chi-∅-kontomo,t͡ʃ i k o n t o m o,,,cop-ipfv-pl,vi
ini-see-0-ri-zero,yab,ini-∅,i n i,,,see-ipfv,vt
waimu-talk-0-ri-zero-kontomopl,yab,waimu-∅-kontomo,w a i m u k o n t o m o,,,talk-ipfv-pl,vi
i-do-0-pstjpe1,yab,i-jpë,i h p ə,,,do-pst,vt
yekerema,yab,yekerema,j e k e r e m a,,,unknown,
chipokon,yab,chipokon,t͡ʃ i p o k o n,,,unknown,
yaruwa-laugh-0-ri-zero-kontomopl,yab,yaruwa-∅-kontomo,j a r u w a k o n t o m o,,,laugh-ipfv-pl,vi
tejpore-tasty-0,yab,tejpore,t e h p o r e,,,tasty,adv
f3e78ed2-7584-444f-9487-84e46b62362b0,yab,sa,s a,,,eval,part
onono-another-0,yab,onono,o n o n o,,,another,
763cd0a8-2338-47f6-be83-51c37991b1292,yab,yatum,j a t u m,,,sun,n
ponoko-every-0,yab,ponoko,p o n o k o,,,every,adv
taro-say-2-ri-zero-kontomopl,yab,ta-∅-kontomo,t a k o n t o m o,,,say-ipfv-pl,vt
ini-see-0-ri-zero-janeg,yab,ini-∅-ja,i n i h a,,,see-ipfv-neg,vt
5fc2465b-ffb2-41f9-b168-18f867a833530,yab,kë,k ə,,,ouch,intj
wajyakiti-very-happy-0,yab,wajyakïtï,w a h j a k ɨ t ɨ,,,very-happy,n
u1-yaerg-0,yab,u-ya,u j a,,,1-erg,postp
aniki-who-0,yab,aniki,a n i k i,,,who,pn
narepe,yab,narëpe,n a r ə p e,,,unknown,
yakere,yab,yakërë,j a k ə r ə,,,unknown,
5a18649c-d742-45d3-975d-e9618da883bd1-ri-ri,yab,përemekï-rï,p ə r e m e k ɨ r ɨ,,,talk-ipfv,vi
chiyakono-friend-1,yab,chiyakon,t͡ʃ i j a k o n,,,friend,n
chi-cop-0-ri-zero,yab,chi-∅,t͡ʃ i,,,cop-ipfv,vi
taro-say-2-ri,yab,ta-ri,t a r i,,,say-ipfv,vt
yarikasemijra,yab,yarikasemïjra,j a r i k a s e m ɨ h r a,,,unknown,
ware-thus-3,yab,nwa,n w a,,,thus,adv
a2-najmo-grandmother-0-ripert,yab,a-najmo-ri,a n a h m o r i,,,2-grandmother-pert,n
a2-najpi-grandfather-0-ripert,yab,a-najpï-ri,a n a h p ɨ r i,,,2-grandfather-pert,n
u1-najmo-grandmother-0-ripert,yab,u-najmo-ri,u n a h m o r i,,,1-grandmother-pert,n
u1-najpi-grandfather-0-ripert,yab,u-najpï-ri,u n a h p ɨ r i,,,1-grandfather-pert,n
