"ID","Form","Morpheme_ID","Comment"
"i31","i-","i3",
"ij3","ij-","i3","Irregular allomorph on ‘to go’."
"jnepl1","-jne","jnepl",
"jnepl2","-jnë","jnepl",
"janeg","-ja","janeg",
"keimp","-kë","keimp",
"kempinire","-kempïnirë","kempinire",
"kontomopl","-kontomo","kontomopl",
"kontompl","-kontom","kontomopl",
"kontonpl","-konton","kontomopl",
"ma","ma","ma",
"me2","më-","me2",
"pokobecause","poko","pokobecause",
"sareimn","-sarë","sareimn",
"ta-3","ta-","ta-3",
"te-3","të-","ta-3",
"t-3","t-","ta-3",
"it3","t-","i3",
"tamotimp","-ta","tamotimp",
"tepeke","-tëpëkë","nepeke",
"nepeke","-nëpëkë","nepeke",
"tikenepost","-tïkene","tikenepost",
"tojpefut","-tojpe","tojpefut",
"tomopl","-tomo","tomopl",
"tonpl","-ton","tomopl",
"tompl","-tom","tomopl",
"u1","u-","u1",
"ylk","y-","ylk",
"e2","ë-","a2",
"a2","a-","a2",
"jnarineg","-jnari","jnarineg",
"tenpert","-të","tenpert",
"tipert","-ti","tipert",
"jpert","-j","tipert",
"o2","o-","a2",
"ri-zero","-∅","riipfv",
"ri","-ri","riipfv",
"ri-ri","-rï","riipfv",
"ri-ru","-ru","riipfv",
"sepst","-se","sepst",
"jpepst1","-jpë","jpepst",
"sapepfv","-sapë","sapepfv",
"sajpfv","-saj","sapepfv",
"ipert","-i","rupert","Uncertain analysis."
"ripert","-ri","rupert",
"rupert","-ru","rupert",
"pikeprog","-pïkë","pekeprog",
"pekeprog","-pëkë","pekeprog",
"chepst","-che","sepst",
"jramaproh","-jrama","jramaproh",
"ripocntf","-ripo","ripocntf",
"yeperl","-ye","yeperl",
"rupert-zero","-∅","rupert",
"tojpanofut","-tojpano","tojpanofut",
"tepl","-të","tepl",
"ihort","-i","ihort",
"rypert","-rï","rupert",
"chareimn","-charë","sareimn",
"ej12","ej-","ej12",
